Funder stakeholder ID,Funder name,Funder WHO Region,Funder geographic region,Funder geographic sub-region,PHEIC name,Total disbursed (nominal USD),Percentage of disbursements for this PHEIC
1064,Thailand,searo,Asia,South-eastern Asia,2014-2016 Ebola in West Africa,152905,0.01
1047,Singapore,wpro,Asia,South-eastern Asia,2014-2016 Ebola in West Africa,150000,0.01
1027,Poland,euro,Europe,Eastern Europe,2014-2016 Ebola in West Africa,146317,0.01
937,Estonia,euro,Europe,Northern Europe,2014-2016 Ebola in West Africa,129847.00000000001,0.00
1373,Sanofi Foundation,,,,2014-2016 Ebola in West Africa,128000,0.00
1325,OAS African Investments Limited,,,,2014-2016 Ebola in West Africa,107000,0.00
993,Malaysia,wpro,Asia,South-eastern Asia,2014-2016 Ebola in West Africa,100000,0.00
1381,Shinnyo-en,,,,2014-2016 Ebola in West Africa,100000,0.00
956,Guinea,afro,Africa,Sub-Saharan Africa,2014-2016 Ebola in West Africa,100000,0.00
1452,Vale International Holdings Gmbh,,,,2014-2016 Ebola in West Africa,100000,0.00
901,Brunei Darussalam,wpro,Asia,South-eastern Asia,2014-2016 Ebola in West Africa,100000,0.00
914,Colombia,amro,Americas,Latin America and the Caribbean,2014-2016 Ebola in West Africa,100000,0.00
1001,Monaco,euro,Europe,Western Europe,2014-2016 Ebola in West Africa,63532,0.00
963,Hungary,euro,Europe,Eastern Europe,2014-2016 Ebola in West Africa,62578,0.00
996,Malta,euro,Europe,Southern Europe,2014-2016 Ebola in West Africa,62295,0.00
958,Guyana,amro,Americas,Latin America and the Caribbean,2014-2016 Ebola in West Africa,50363,0.00
976,Kazakhstan,euro,Asia,Central Asia,2014-2016 Ebola in West Africa,50000,0.00
1192,Eli Lilly and Company,,,,2014-2016 Ebola in West Africa,50000,0.00
982,Latvia,euro,Europe,Northern Europe,2014-2016 Ebola in West Africa,48876,0.00
1025,Peru,amro,Americas,Latin America and the Caribbean,2014-2016 Ebola in West Africa,48479,0.00
919,Croatia,euro,Europe,Southern Europe,2014-2016 Ebola in West Africa,48000,0.00
1032,Romania,euro,Europe,Eastern Europe,2014-2016 Ebola in West Africa,40000,0.00
1050,Slovenia,euro,Europe,Southern Europe,2014-2016 Ebola in West Africa,38119,0.00
1049,Slovakia,euro,Europe,Eastern Europe,2014-2016 Ebola in West Africa,37445.56291120911,0.00
1177,Dadco Alumina And Chemicals Ltd.,,,,2014-2016 Ebola in West Africa,25000,0.00
1388,Societe Anglogold Ashanti De Guinee (sag),,,,2014-2016 Ebola in West Africa,25000,0.00
1389,Societe Des Mines De Fer De Guinee (smfg),,,,2014-2016 Ebola in West Africa,25000,0.00
1344,Pfizer,,,,2014-2016 Ebola in West Africa,25000,0.00
950,Georgia,euro,Asia,Western Asia,2014-2016 Ebola in West Africa,25000,0.00
876,Andorra,euro,Europe,Southern Europe,2014-2016 Ebola in West Africa,20053,0.00
999,Mauritius,afro,Africa,Sub-Saharan Africa,2014-2016 Ebola in West Africa,20000,0.00
961,Holy See,,Europe,Southern Europe,2014-2016 Ebola in West Africa,20000,0.00
1241,Indigo Trust,,,,2014-2016 Ebola in West Africa,15377.245666917672,0.00
1322,Not reported,,,,2014-2016 Ebola in West Africa,10350,0.00
922,Cyprus,euro,Asia,Western Asia,2014-2016 Ebola in West Africa,6350,0.00
1003,Montenegro,searo,Europe,Southern Europe,2014-2016 Ebola in West Africa,5000,0.00
1065,Togo,afro,Africa,Sub-Saharan Africa,2014-2016 Ebola in West Africa,1581,0.00
10005,CISU,,,,2014-2016 Ebola in West Africa,1174.6248077825815,0.00
1129,Bill & Melinda Gates Foundation,,,,2014-2022 Poliovirus,1755311634.160001,18.67
1428,United Nations (UN),,,,2014-2022 Poliovirus,1220388901.2017982,12.98
1224,Global Alliance for Vaccines and Immunisation (GAVI),,,,2014-2022 Poliovirus,1112886420.26,11.84
1467,World Bank,,,,2014-2022 Poliovirus,590377230.39,6.28
1472,World Health Organization (WHO),,,,2014-2022 Poliovirus,570140832.53,6.06
1075,United Kingdom,euro,Europe,Northern Europe,2014-2022 Poliovirus,516149611.49004877,5.49
1078,United States of America,amro,Americas,Northern America,2014-2022 Poliovirus,407983806.79999995,4.34
869,Germany,euro,Europe,Western Europe,2014-2022 Poliovirus,192062020.8868665,2.04
908,Canada,amro,Americas,Northern America,2014-2022 Poliovirus,100065305.85215665,1.06
883,Australia,wpro,Oceania,Australia and New Zealand,2014-2022 Poliovirus,87960576.00401539,0.94
1200,European Union,euro,,,2014-2022 Poliovirus,19856217.689067535,0.21
973,Japan,wpro,Asia,Eastern Asia,2014-2022 Poliovirus,4706737.617795646,0.05
1010,New Zealand,wpro,Oceania,Australia and New Zealand,2014-2022 Poliovirus,3481285.0474614697,0.04
971,Italy,euro,Europe,Southern Europe,2014-2022 Poliovirus,1138434.2688030018,0.01
1055,Spain,euro,Europe,Southern Europe,2014-2022 Poliovirus,367561.3618459293,0.00
1475,World Vision International,,,,2014-2022 Poliovirus,237432.4,0.00
1756,OCHA Country Based Pooled Funds,,,,2014-2022 Poliovirus,137898.86,0.00
1383,Sightsavers,,,,2014-2022 Poliovirus,52737.04585612643,0.00
1286,Malaria Consortium,,,,2014-2022 Poliovirus,40975.03294031047,0.00
1757,GlobalGiving.org,,,,2014-2022 Poliovirus,36925,0.00
969,Ireland,euro,Europe,Northern Europe,2014-2022 Poliovirus,4760.967509724886,0.00
1249,International Red Cross and Red Crescent Movement,,,,2014-2022 Poliovirus,1322.7195077336291,0.00
944,Finland,euro,Europe,Northern Europe,2014-2022 Poliovirus,1054.1438169288028,0.00
1078,United States of America,amro,Americas,Northern America,2015-2016 Zika Virus,11454252.3092295,0.12
1129,Bill & Melinda Gates Foundation,,,,2015-2016 Zika Virus,9797890,0.10
883,Australia,wpro,Oceania,Australia and New Zealand,2015-2016 Zika Virus,8081083.609815737,0.09
1075,United Kingdom,euro,Europe,Northern Europe,2015-2016 Zika Virus,7613417.789454008,0.08
1472,World Health Organization (WHO),,,,2015-2016 Zika Virus,5615000,0.06
1249,International Red Cross and Red Crescent Movement,,,,2015-2016 Zika Virus,5098310.623321947,0.05
1344,Pfizer,,,,2015-2016 Zika Virus,2100000,0.02
1342,Paul Allen Foundation,,,,2015-2016 Zika Virus,2050000,0.02
908,Canada,amro,Americas,Northern America,2015-2016 Zika Virus,1042587.0005505,0.01
1017,Norway,euro,Europe,Northern Europe,2015-2016 Zika Virus,517000,0.01
1010,New Zealand,wpro,Oceania,Australia and New Zealand,2015-2016 Zika Virus,289490.3119669371,0.00
1244,Inter-American Development Bank,,,,2015-2016 Zika Virus,211500,0.00
973,Japan,wpro,Asia,Eastern Asia,2015-2016 Zika Virus,200518.03902899998,0.00
1055,Spain,euro,Europe,Southern Europe,2015-2016 Zika Virus,109940,0.00
1428,United Nations (UN),,,,2015-2016 Zika Virus,58416.92,0.00
1886,S. C. Johnson & Son Inc.,,,,2015-2016 Zika Virus,28951.1669205,0.00
1763,Practical Action,,,,2015-2016 Zika Virus,12044.119393364961,0.00
1078,United States of America,amro,Americas,Northern America,2018-2020 Ebola in DRC,211814085.73000002,2.00
1467,World Bank,,,,2018-2020 Ebola in DRC,190360204,1.80
1224,Global Alliance for Vaccines and Immunisation (GAVI),,,,2018-2020 Ebola in DRC,136851109,1.29
