"Funder name","Total disbursed (nom. USD)"
United States of America,5940542241
Canada,778493281.6112998
Germany,765496128.5235493
Netherlands,197513757.45750874
Norway,113466511.821996
Sweden,86804574.19695568
Australia,75722507.19322845
Japan,75032000
European Union,26714654.5115
United Kingdom,26519712.07
Belgium,5000492.404
