"Funder name (philanthropies only, from among top 50 only)","Funder ID","Total disb. to countries post-2013 for cap. (nom. USD)"
Bill & Melinda Gates Foundation,1129,4708821937.972802
King Salman Humanitarian Aid and Relief Centre,1701,75017507
The Power of Nutrition,1414,8104000.0
Charity Projects Ltd (Comic Relief),1156,2519928.8911201153
