"Funder name","Total disbursed (nom. USD)"
Bill & Melinda Gates Foundation,2235267806.8326
King Salman Humanitarian Aid and Relief Centre,78271410
The William and Flora Hewlett Foundation,3540000.0
SOS Children's Villages The Netherlands,2544502.398507611
