"Funder name","Total disbursed (nom. USD)"
Bill & Melinda Gates Foundation,4708821937.972801
King Salman Humanitarian Aid and Relief Centre,75017507
The Power of Nutrition,8104000.0
Access to Medicine Foundation,3676834.777653317
Elton John AIDS Foundation,2697352.5278793266
Charity Projects Ltd (Comic Relief),2519928.891120115
Yamaan Foundation for Health and Social Development,866075.3853841985
Royal Tropical Institute,413146.2807158768
SOS Children's Villages The Netherlands,244110.60340929168
