Funder stakeholder ID,Funder name,Funder WHO Region,Funder geographic region,Funder geographic sub-region,PHEIC name,Total disbursed (nominal USD),Percentage of disbursements for this PHEIC
945,France,euro,Europe,Western Europe,2014-2016 Ebola in West Africa,635324,0.02
1769,Norwegian Refugee Council,,,,2014-2016 Ebola in West Africa,568477.0947656551,0.01
1223,GlaxoSmithKline,,,,2014-2016 Ebola in West Africa,562000,0.01
1329,OPEC Fund for International Development,,,,2014-2016 Ebola in West Africa,500000,0.01
1265,International Union Against Tuberculosis and Lung Disease,,,,2014-2016 Ebola in West Africa,440000,0.01
1308,Netherlands Enterprise Agency,,,,2014-2016 Ebola in West Africa,421463.33384440694,0.01
1122,AstraZeneca,,,,2014-2016 Ebola in West Africa,403000,0.01
1297,Merck,,,,2014-2016 Ebola in West Africa,401150,0.01
1128,BHP Billiton Sustainable Communities,,,,2014-2016 Ebola in West Africa,400000,0.01
1053,South Africa,afro,Africa,Sub-Saharan Africa,2014-2016 Ebola in West Africa,325725,0.01
1423,UN Foundation,,,,2014-2016 Ebola in West Africa,300371,0.01
912,Chile,amro,Americas,Latin America and the Caribbean,2014-2016 Ebola in West Africa,300000,0.01
1160,China Development Bank (CDB),,,,2014-2016 Ebola in West Africa,300000,0.01
1028,Portugal,euro,Europe,Southern Europe,2014-2016 Ebola in West Africa,257050,0.01
952,Greece,euro,Europe,Southern Europe,2014-2016 Ebola in West Africa,250313,0.01
1625,HelpAge International,,,,2014-2016 Ebola in West Africa,217553.04229467802,0.01
923,Czech Republic,euro,Europe,Eastern Europe,2014-2016 Ebola in West Africa,205052,0.00
1637,"UK - Department for Business, Energy and Industrial Strategy (BEIS)",,,,2014-2016 Ebola in West Africa,195017.71159009705,0.00
1757,GlobalGiving.org,,,,2014-2016 Ebola in West Africa,176628,0.00
1257,International Labour Organization (ILO),,,,2014-2016 Ebola in West Africa,163633,0.00
1590,HelpAge International UK,,,,2014-2016 Ebola in West Africa,162217.96692644415,0.00
1064,Thailand,searo,Asia,South-eastern Asia,2014-2016 Ebola in West Africa,152905,0.00
1047,Singapore,wpro,Asia,South-eastern Asia,2014-2016 Ebola in West Africa,150000,0.00
1027,Poland,euro,Europe,Eastern Europe,2014-2016 Ebola in West Africa,146317,0.00
