Funder stakeholder ID,Funder name,Funder WHO Region,Funder geographic region,Funder geographic sub-region,PHEIC name,Total disbursed (nominal USD)
1297,Merck,,,,2014-2016 Ebola in West Africa,401150
1128,BHP Billiton Sustainable Communities,,,,2014-2016 Ebola in West Africa,400000
1053,South Africa,afro,Africa,Sub-Saharan Africa,2014-2016 Ebola in West Africa,325725
1423,UN Foundation,,,,2014-2016 Ebola in West Africa,300371
912,Chile,amro,Americas,Latin America and the Caribbean,2014-2016 Ebola in West Africa,300000
1160,China Development Bank (CDB),,,,2014-2016 Ebola in West Africa,300000
1028,Portugal,euro,Europe,Southern Europe,2014-2016 Ebola in West Africa,257050
952,Greece,euro,Europe,Southern Europe,2014-2016 Ebola in West Africa,250313
1625,HelpAge International,,,,2014-2016 Ebola in West Africa,217553.04229467802
923,Czech Republic,euro,Europe,Eastern Europe,2014-2016 Ebola in West Africa,205052
1637,"UK - Department for Business, Energy and Industrial Strategy (BEIS)",,,,2014-2016 Ebola in West Africa,195017.71159009705
1757,GlobalGiving.org,,,,2014-2016 Ebola in West Africa,176628
1257,International Labour Organization (ILO),,,,2014-2016 Ebola in West Africa,163633
1590,HelpAge International UK,,,,2014-2016 Ebola in West Africa,162217.96692644415
1064,Thailand,searo,Asia,South-eastern Asia,2014-2016 Ebola in West Africa,152905
1047,Singapore,wpro,Asia,South-eastern Asia,2014-2016 Ebola in West Africa,150000
1027,Poland,euro,Europe,Eastern Europe,2014-2016 Ebola in West Africa,146317
1270,AICS - Agenzia Italiana per la Cooperazione allo Sviluppo / Italian Agency for Cooperation and Development,,,,2014-2016 Ebola in West Africa,141584.11973121134
937,Estonia,euro,Europe,Northern Europe,2014-2016 Ebola in West Africa,129847
1373,Sanofi Foundation,,,,2014-2016 Ebola in West Africa,128000
1325,OAS African Investments Limited,,,,2014-2016 Ebola in West Africa,107000
993,Malaysia,wpro,Asia,South-eastern Asia,2014-2016 Ebola in West Africa,100000
1452,Vale International Holdings Gmbh,,,,2014-2016 Ebola in West Africa,100000
914,Colombia,amro,Americas,Latin America and the Caribbean,2014-2016 Ebola in West Africa,100000
901,Brunei Darussalam,wpro,Asia,South-eastern Asia,2014-2016 Ebola in West Africa,100000
956,Guinea,afro,Africa,Sub-Saharan Africa,2014-2016 Ebola in West Africa,100000
1381,Shinnyo-en,,,,2014-2016 Ebola in West Africa,100000
1001,Monaco,euro,Europe,Western Europe,2014-2016 Ebola in West Africa,63532
963,Hungary,euro,Europe,Eastern Europe,2014-2016 Ebola in West Africa,62578
996,Malta,euro,Europe,Southern Europe,2014-2016 Ebola in West Africa,62295
958,Guyana,amro,Americas,Latin America and the Caribbean,2014-2016 Ebola in West Africa,50363
1192,Eli Lilly and Company,,,,2014-2016 Ebola in West Africa,50000
976,Kazakhstan,euro,Asia,Central Asia,2014-2016 Ebola in West Africa,50000
1438,United Nations Office for the Coordination of Humanitarian Affairs (OCHA),,,,2014-2016 Ebola in West Africa,49269
982,Latvia,euro,Europe,Northern Europe,2014-2016 Ebola in West Africa,48876
1025,Peru,amro,Americas,Latin America and the Caribbean,2014-2016 Ebola in West Africa,48479
919,Croatia,euro,Europe,Southern Europe,2014-2016 Ebola in West Africa,48000
1032,Romania,euro,Europe,Eastern Europe,2014-2016 Ebola in West Africa,40000
1343,People's Liberation Army of China,,,,2014-2016 Ebola in West Africa,40000
1050,Slovenia,euro,Europe,Southern Europe,2014-2016 Ebola in West Africa,38119
1049,Slovakia,euro,Europe,Eastern Europe,2014-2016 Ebola in West Africa,37445.56291120912
1388,Societe Anglogold Ashanti De Guinee (sag),,,,2014-2016 Ebola in West Africa,25000
1344,Pfizer,,,,2014-2016 Ebola in West Africa,25000
1177,Dadco Alumina And Chemicals Ltd.,,,,2014-2016 Ebola in West Africa,25000
