"Funder name","Total disbursed (nom. USD)"
United States of America,16231369244.13819
Germany,3048773726.0058284
United Kingdom,2224988605.8342047
European Union,1839805259.0786586
Netherlands,949281779.0237597
Canada,723724874.2790437
Switzerland,453189929.65385324
Sweden,244679983.68834236
Norway,229492484.95659402
Australia,229072782.2099458
France,204887607.73130715
Finland,184432844.11412662
Republic of Korea,181677145.28429484
Denmark,136725874.55733496
Italy,119175609.34062992
Belgium,92102954.76950423
New Zealand,65326684.207567364
Spain,26772437.201743677
Family Guidance Association of Ethiopia,4873082.404947309
Ethiopia,120019.146120821
Slovenia,51491.975858812206
