"Funder name (country only, from among top 50 only)","Funder ID","Total disb. to countries post-2013 for cap. (nom. USD)"
United States of America,1078,16231369244.138245
Germany,869,3048773726.0058284
United Kingdom,1075,2224988605.834204
European Union,1200,1839805259.0786612
Netherlands,868,949281779.0237594
Canada,908,723724874.2790436
Switzerland,1060,453189929.6538539
Sweden,1059,244679983.68834218
Norway,1017,229492484.95659408
Australia,883,229072782.20994598
France,945,204887607.73130718
Finland,944,184432844.1141266
Republic of Korea,1030,181677145.28429493
Denmark,927,136725874.557335
Italy,971,119175609.34062992
Belgium,891,92102954.7695042
New Zealand,1010,65326684.20756743
Spain,1055,26772437.201743674
Family Guidance Association of Ethiopia,1831,4873082.404947309
