"year","P.1","P.2","P.3","P.4","P.5","P.6","P.7","D.1","D.2","D.3","D.4","R.1","R.2","R.3","R.4","R.5","RE","PoE","CE"
2016.0,1897294868,1750387.0,455966917,968395450,556893806,164978972,4124724338,1564750611,2117177650,1952901996,3022609320,395972819,1253704989,21954648,371414476,228023718,5663598.0,174762845,8323290.0
2017.0,1863829169,5072462.0,515906622,735384281,589418496,148541275,4395565320,1909114004,2305072497,2387234564,2525592408,462075822,3226661560,25052174,1869246298,275157441,2867588.0,235351425,11593342
2018.0,1808809609,5366373.0,457656382,894941517,551719006,167350758,4531360592,1741470352,2329582082,2240448152,2576493217,485093562,3518560124,22249406,2473195665,283820821,3251511.0,309606093,13430720
2019.0,2550777922,4408997.0,696367953,845724656,357112981,160156716,4929810125,2505269540,2932813048,2793774721,3505911830,614126346,3363920436,47734217,2877631459,286974751,3211831.0,399643883,7482768.0
2020.0,2180065029,1888991.0,898593229,997369525,294636254,130371593,4547081961,2922567879,3554336488,2721402340,3330911890,940552873,4349224021,38516956,2814755027,297934058,8549597.0,407292807,1366293.0
2021.0,1616545386,955657.0,1072329120,1023045357,176583318,71580432,4039205283,2825560354,3757630270,2443819484,2966662193,877636859,3921130373,36572648,2114930786,338432625,9671884.0,453483100,1130282.0
2022.0,437713990,564062.0,277675848,493529573,66531208,64304559,4599599353,776798433,1189778491,608109160,393271977,228043412,1153797416,6005845.0,1065586996,90633937,4113153.0,92197283,
