"Year","Specified","Unspecified"
2016.0,10423004841,10475030071
2017.0,12327371849,11000555799
2018.0,12196388317,11204156396
2019.0,14633276793,12699519125
2020.0,15233027511,16609750678
2021.0,13735151290,15705063283
2022.0,5764079106,3768989482
