"Recipient ID","Recipient name","Total disbursed for capacity (USD, nominal)","Category (country, international, or philanthropy)","Total committed for capacity (USD, nominal)","Total disbursed for capacity (billion USD, nominal)"
1751,One Health Commission,511509.9139739999,,0.0,0.00
1099,Africa CDC,493771.54809779197,International,0.0,0.00
1103,African Population and Health Research Center,454676.51399999997,International,654908.796,0.00
1339,Parliamentarians for Global Action,376386.986,International,0.0,0.00
1074,United Arab Emirates,346589.6695,Country,1084391.7022999998,0.00
1212,French Guiana,342335.83813326014,Country,300492.6552379991,0.00
1248,International Centre of Insect Physiology and Ecology,339571.703,Other,218302.932,0.00
1145,CARICOM,333249.14436,Country,333925.34325333335,0.00
1247,International Centre for Diarrhoeal Disease Research,282976.41916666663,Other,272878.665,0.00
1220,Georgetown Center for Global Health Science and Security (GHSS),263470.89019999997,Other,7144627.0,0.00
1717,Global Health Security Network (GHSN),188193.493,,50000.0,0.00
1299,Middle Africa,181716.27707989735,Country,192589.6815335,0.00
1029,Qatar,172042.50800000003,Country,2342618.38728,0.00
969,Ireland,152011.50492172776,Country,0.0,0.00
882,Aruba,142093.25870168052,Country,0.0,0.00
1722,Biosecure Ltd,130788.14026,,25000.0,0.00
1117,ASEAN,88666.80183466665,Country,0.0,0.00
1140,BTWC Implementation Support Unit (ISU),80000.0,International,639857.8761999999,0.00
1796,The Australia Group,75277.39719999999,,0.0,0.00
1750,Caribbean Public Health Agency (CARPHA),70000.0,,0.0,0.00
946,French Polynesia,30599.482,Country,51299.5136,0.00
901,Brunei Darussalam,28818.831000000002,Country,56932.5,0.00
1047,Singapore,13300.856930954158,Country,56676.000618000005,0.00
996,Malta,6799.976,Country,98731.0008,0.00
876,Andorra,0.0,Country,7965.0,0.00
1206,Flinders University,0.0,Other,639857.8761999999,0.00
1119,Asia-Pacific,0.0,Country,4056006.0700000003,0.00
1028,Portugal,0.0,Country,258232.0,0.00
1467,World Bank,0.0,International,1447099826.3999999,0.00
10017,Vir Biotechnology,0.0,,50000000,0.00
