Recipient ID,Recipient name,"Total disbursed for capacity (USD, nominal)","Category (country, international, or philanthropy)","Total committed for capacity (USD, nominal)"
1041,Sao Tome and Principe,34008691.79916446,Country,50684964.491037086
1462,West Africa,33906485.571499914,Country,272174706.32949954
1036,Saint Lucia,33437605.607134275,Country,32017916.00977608
1078,United States of America,32937654.812174115,Country,123059812.29983905
978,Kiribati,32758231.05456996,Country,26709537.18689524
892,Belize,32668322.52456998,Country,35675920.97483061
1287,Mano River Union,32100000,Country,8700000
868,Netherlands,30247870.583366707,Country,19288848.972393394
1067,Trinidad and Tobago,30223030.663334444,Country,113913823.2177241
889,Barbados,28008402.06564454,Country,24055855.081420638
993,Malaysia,27881119.144352425,Country,37568164.05070362
905,Cabo Verde,26911116.534869917,Country,34942140.25648711
874,Algeria,25479710.002265275,Country,76838491.04157752
917,Cook Islands,23386187.423981983,Country,2752452.442245127
1033,Russian Federation,22170172.950865656,Country,42207005.538966574
1428,United Nations (UN),21800000,International,19170105.43
1058,Suriname,21194183.90138007,Country,46068511.59984372
1151,Central Asia,21128806.811780687,Country,6192651.097969325
1042,Saudi Arabia,20938044.914948236,Country,8887238.821994089
891,Belgium,20433656.935316212,Country,2282059.1848644703
1224,Global Alliance for Vaccines and Immunisation (GAVI),20374302.18,International,13098175.92
902,Bulgaria,19802774.241022833,Country,25621114.09602317
970,Israel,19313903.309390403,Country,17796354.416550115
999,Mauritius,19178903.30837053,Country,26053428.895706266
1317,North Africa,17791534.640119143,Country,15690753.686939256
1008,Nauru,16702696.173457686,Country,8690570.577338161
1016,North Macedonia,14719988.828111928,Country,24202740.03642556
1038,Saint Vincent and the Grenadines,14193423.844577385,Country,2879062.5569062633
912,Chile,12218849.610389844,Country,2883112.97219169
1079,Uruguay,11488773.88370783,Country,8706840.706198547
908,Canada,10944680.924562782,Country,13711850.373941725
1071,Tuvalu,10813145.284725407,Country,11513323.378132524
1189,East Africa,8971855.283432117,Country,24122643.984066617
1472,World Health Organization (WHO),8959543.21484539,International,7527739.72
1150,Central America,8457736.550380317,Country,8426498.5748435
1251,International Criminal Police Organization (INTERPOL),8200024.340845564,International,0
1085,Western Sahara,7022138.438109458,Country,9476650.035932167
994,Maldives,6985374.806247971,Country,7099234.830991748
1393,Southern Africa,6978108.804782029,Country,5610472.632671727
886,Bahamas,4862359.897264078,Country,42968308.79845727
1014,Niue,4442479.693717301,Country,707618.6819510463
1045,Seychelles,4438808.099617149,Country,4484686.454491873
953,Grenada,4116492.5787892826,Country,350386.83980550675
1003,Montenegro,4032724.241202698,Country,6182893.839140815
