"Funder name (philanthropies only, from among top 50 only)","Funder ID","Total disb. to countries post-2013 for cap. (nom. USD)"
Bill & Melinda Gates Foundation,1129,8926199370.667961
King Salman Humanitarian Aid and Relief Centre,1701,196583374
The Power of Nutrition,1414,108974583
Charity Projects Ltd (Comic Relief),1156,7560438.892645085
