"Funder name","Total disbursed (nom. USD)"
Bill & Melinda Gates Foundation,59844728
Susan Thompson Buffett Foundation,20105294
King Salman Humanitarian Aid and Relief Centre,13000000
King Baudouin Foundation,3250000.0
Rockefeller Foundation,2475248.0
Wellcome Trust,2084940.0
Paul Allen Foundation,1000000.0
Foundation for Innovative New Diagnostics (FIND),360352.0
UN Federal Credit Union Foundation,76497.0
