"Funder name (int'l orgs. only, from among top 50 only)","Funder ID","Total disb. to countries post-2013 for cap. (nom. USD)"
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",1411,14410454987.24999
World Bank,1467,6064806212.181427
United Nations (UN),1428,5948637971.772987
Global Alliance for Vaccines and Immunisation (GAVI),1224,5681235416.700004
Inter-American Development Bank,1244,984168315
Asian Development Bank,1120,679534309.4299997
Sightsavers,1383,200411495.5244087
MSI Reproductive Choices,1623,192585714.350935
World Health Organization (WHO),1472,179323005.4999998
Malaria Consortium,1286,144149468.77272505
Save the Children,1377,138755696.2920588
African Development Bank,1102,112099143.86759531
International Rescue Committee,1261,109852381.3182038
Palladium International Limited,1335,98567702.59649253
Options Consultancy Services,1331,86085936.93869714
Action Against Hunger,1093,68161210.99081327
Clinton Health Access Initiative,1168,47961027.48919378
International Labour Organization (ILO),1257,40663601
International Planned Parenthood Federation,1260,35249830.13301469
Abt Associates Inc,1681,27320675.74762502
Plan International,1352,14316792.946369292
