"Funder name (country only, from among top 50 only)","Funder ID","Total disb. to int'l orgs. post-2013 for cap. (nom. USD)"
United States of America,1078,5940542241
Canada,908,778493281.6112998
Germany,869,765496128.5235493
Netherlands,868,197513757.45750874
Norway,1017,113466511.821996
Sweden,1059,86804574.1969557
Australia,883,75722507.19322845
Japan,973,75032000
European Union,1200,26714654.5115
United Kingdom,1075,26519712.07
Belgium,891,5000492.404
