"Funder name (country only, from among top 50 only)","Funder ID","Total disb. to int'l orgs. post-2013 for cap. (nom. USD)"
United States of America,1078,5760536918
Netherlands,868,111138036.06480333
Australia,883,81837622.25465399
Norway,1017,27972647.52
Canada,908,14558411.292479448
United Kingdom,1075,12999438.42
European Union,1200,1591511.3326000003
Belgium,891,218304.45187999998
Japan,973,48000.0
